AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX
277.7378,101.87,83.675,3.5758,239.79,1359.35,822.98,134.67,1189.8,0.32663,81.952
277.4432,101.83,84.235,3.5709,239.51,1359.25,823.1999999999999,134.67,1189.2,0.44784,82.377
277.0545,101.84,84.858,3.5828,239.89999999999998,1359.65,823.34,135.1,1204.2,0.45144,83.776
276.8936,101.83,85.434,3.5808,239.11,1359.65,823.3199999999999,135.03,1199.0,0.23107,82.505
276.9016,101.78,85.182,3.5781,239.17000000000002,1359.0500000000002,823.15,134.67,1191.0,0.26747,82.028
277.0358,101.77,83.946,3.5824,239.02999999999997,1359.15,823.13,134.67,1186.8,0.23473,81.748
276.81969999999995,101.8,84.114,3.5804,238.89,1359.0500000000002,823.1899999999999,134.68,1187.7,0.44412,84.592
276.7392,101.82,83.867,3.5777,238.76000000000002,1359.15,823.03,134.66,1189.3000000000002,0.79996,84.193
276.8608,101.85,84.948,3.6027,239.57,1359.4499999999998,823.13,134.65,1187.0,0.68996,83.978
277.9781,101.85,85.346,3.5158,234.22,1356.25,822.9499999999999,132.67,1169.4,1.0281,82.654
279.1834,101.84,86.054,3.5748,239.89000000000001,1358.9499999999998,823.1899999999999,135.24,1180.4,1.0214,81.952
281.1396,101.79,87.541,4.3905,301.28,1367.65,807.9599999999999,152.6,1333.3,0.94292,73.286
283.0212,101.72,84.249,4.6983,323.41,1373.35,803.73,159.99,1392.9,1.0428,70.558
283.872,101.65,80.263,4.7526,327.39,1373.35,802.0799999999999,160.6,1404.9,1.3484,71.115
284.167,101.63,78.128,4.744,326.71999999999997,1373.25,802.2099999999999,160.4,1401.8000000000002,1.0686,70.107
284.096,101.62,77.96,4.6919,324.24,1373.4499999999998,803.8199999999999,160.09,1394.5,0.21538,67.415
283.905,101.59,79.267,4.7117,326.32,1373.35,802.5,160.66,1402.5,0.23574,67.49
283.325,101.58,81.423,4.6407,322.86,1372.9499999999998,803.8199999999999,160.64,1382.6,0.62972,66.863
282.65689999999995,101.57,82.518,4.6187,322.18000000000006,1372.9499999999998,803.9,160.84,1391.3,0.57439,67.361
278.53799999999995,101.43,90.459,3.63,240.64,1357.9499999999998,822.26,134.26,1181.4,0.52213,82.137
278.64059999999995,101.39,88.626,3.2829,212.54000000000002,1342.4499999999998,822.8,121.95,1113.2,1.1662,84.908
278.6022,101.36,87.772,3.6333,239.94,1358.25,822.86,133.51,1179.2,0.46707,82.951
278.6274,101.34,87.768,3.5139,230.13000000000002,1352.85,823.28,129.19,1160.5,0.6789,82.624
278.5284,101.31,86.562,3.5598,234.19,1355.35,823.25,131.08,1166.7,0.67688,84.05
278.37359999999995,101.28,87.093,3.5058,229.4,1352.5500000000002,823.24,129.06,1168.6,0.9025,85.062
278.4013,101.27,87.374,3.6241,237.95999999999998,1357.5500000000002,823.0799999999999,132.86,1169.2,0.6558,82.947
278.4234,101.25,88.534,3.4224,222.07999999999998,1348.0500000000002,823.2099999999999,125.76,1145.1,1.0513,83.447
279.1276,101.25,90.679,3.5983,234.47,1355.4499999999998,823.17,130.63,1162.2,0.76573,82.3
279.9176,101.28,90.879,3.7007,242.04999999999998,1359.4499999999998,823.1899999999999,133.52,1178.2,0.67836,82.355
280.721,101.3,90.3,3.7149,241.98000000000002,1358.9499999999998,823.02,132.98,1180.0,0.71119,80.614
282.4219,101.32,91.475,3.8031,246.25,1361.65,823.02,133.67,1192.0,0.83687,79.252
284.501,101.31,88.317,3.7048,243.76000000000002,1359.75,823.0,133.68,1188.0,0.9455,74.72
285.668,101.26,79.374,3.6771,243.55,1359.0500000000002,822.86,133.67,1189.7,1.3348,78.366
286.25,101.19,74.68,3.7101,243.90999999999997,1359.35,822.78,133.67,1191.0,1.7444,78.338
286.608,101.17,72.249,3.7271,243.76999999999998,1359.75,822.98,133.64,1185.6,1.8456,77.351
286.57899999999995,101.15,71.494,3.3986,220.19,1345.65,823.27,123.68,1122.4,1.1522,77.843
286.011,101.17,76.197,3.4122,224.31,1347.65,822.85,125.72,1132.4,1.3411,77.931
285.409,101.18,79.056,4.6624,322.86,1372.75,804.56,158.68,1373.4,0.39199,66.904
285.42499999999995,101.18,77.068,4.5962,315.47999999999996,1372.85,806.65,157.24,1360.2,0.30271,67.566
285.155,101.17,77.77,4.6351,320.55,1373.15,805.02,158.75,1371.1,0.28619,66.882
284.751,101.16,80.789,4.6432,322.03000000000003,1373.25,803.98,159.5,1384.0,0.31771,65.784
284.932,101.14,82.954,4.688,323.95000000000005,1373.25,803.61,159.5,1391.2,0.21372,66.586
285.774,101.12,80.439,4.1993,283.59000000000003,1362.5500000000002,811.42,145.54,1287.2,1.4903,70.248
285.458,101.09,79.564,3.5436,236.11,1355.0500000000002,822.85,131.37,1178.5,1.1282,76.463
284.582,101.05,83.703,3.6061,241.01,1357.85,823.09,133.65,1174.4,0.96691,76.97
284.537,101.01,86.534,3.6333,242.44,1358.5500000000002,822.98,134.01,1184.6,0.84245,74.86
284.886,100.99,86.005,3.6463,242.14,1358.4499999999998,823.4599999999999,133.67,1183.4,0.74312,74.746
284.878,100.94,79.251,3.6098,241.52,1357.85,823.06,133.67,1182.8,0.52938,74.94
284.534,100.92,80.702,3.625,241.29999999999998,1357.5500000000002,823.02,133.66,1182.1999999999998,0.53702,74.038
284.237,100.89,86.122,3.6199,240.85000000000002,1357.75,823.23,133.68,1181.0,0.56444,74.382
283.734,100.87,91.258,3.5806,238.01,1356.5500000000002,823.31,132.98,1172.5,0.5651,74.48
283.331,100.87,94.865,3.6288,241.67000000000002,1358.25,822.87,134.47,1169.3,0.52805,76.167
283.451,100.85,96.316,3.6644,242.12,1357.9499999999998,822.3199999999999,134.3,1189.6,0.65832,75.718
283.572,100.85,96.764,4.6879,321.75,1373.35,804.74,159.83,1374.6,0.1966,67.84
283.743,100.81,98.27,4.722,324.82,1373.0500000000002,803.73,160.63,1387.6,0.35119,67.889
283.705,100.78,99.104,4.6722,321.10999999999996,1373.4499999999998,804.59,160.14,1389.4,0.42092,68.51
283.678,100.75,98.744,4.7348,324.79999999999995,1373.15,803.15,161.16,1390.9,0.48485,68.315
283.404,100.74,98.075,4.6774,320.61,1373.35,803.9,161.04,1391.8,0.51052,68.877
